rutemisor,tipodte,fchemis,folio,rutrecep,nrolindet,nmbitem,qtyitem,prcitem,montoitem,cmnarecep,cmnaorigen
33612,33,2018-04-12,10446,969274,2,S/ORDEN COMP 323 22/1/18,1.000000,17848.000000,17848.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10446,969274,3,S/ORDEN COMP 325 24/1/18,1.000000,15420.000000,15420.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10441,50994,1,tira pvc 32,2.000000,3193.000000,6386.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10441,50994,2,americana 32,1.000000,2268.000000,2268.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10441,50994,3,camara carretilla,1.000000,1848.000000,1848.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10492,82494,1,S/CEMNTO,4.000000,3067.000000,12268.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-30,10600,966632,1,SEGUN GUIA 23365 2/4/18,1.000000,52084.000000,52084.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-30,10600,966632,2,SEGUN GUIA 23396 21/4/18,1.000000,1050.000000,1050.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-25,10549,785905,1,SILICONA,1.000000,1680.000000,1680.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-25,10549,785905,2,TAPAGOTERA,1.000000,1860.000000,1860.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-25,10549,785905,3,LAPICES CARPINTERO,2.000000,831.000000,1662.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-25,10549,785905,4,TORNILLO TECHO 3,8.000000,100.000000,800.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-23,10527,768114,1,Modulo 60x30 redondo,1.000000,11176.000000,11176.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-23,10527,768114,2,tira PVC 110,3.000000,7478.000000,22434.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-23,10527,768114,3,tarro vinilit,1.000000,3184.000000,3184.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-24,10541,770810,1,candadao lio,1.000000,6134.000000,6134.0000,VALPARAISO,VILLA ALEMANA
